Altitude,Speed,Battery,Wind Speed,GPS Signal,Obstacle Distance,Motor Health,IMU Stability,Temperature,Crash
248,49,25,18,-74,31,68,0.6823203654233735,49,0
290,29,4,20,-60,45,86,0.9362344220629106,46,0
201,22,63,22,-49,48,84,0.6341735321937397,48,1
96,24,5,12,-47,42,72,0.34849576882206446,27,0
186,8,32,2,-71,27,52,0.8838601687271858,28,0
91,35,24,13,-79,36,59,0.289696168790438,30,0
44,28,44,12,-70,10,57,0.7538047322865351,24,0
234,23,68,4,-96,16,71,0.46707288779096223,54,0
259,12,44,8,-60,13,97,0.44110589962511304,56,0
287,48,48,11,-51,49,78,0.6180763243132782,31,0
194,45,23,12,-78,25,78,0.11364139245751637,26,0
220,13,45,10,-51,37,78,0.17640193951756789,35,0
274,37,58,21,-66,30,57,0.8055218688845002,12,0
66,41,23,10,-44,36,87,0.5150817456040243,16,0
152,5,88,18,-75,37,98,0.26653978352633456,50,0
219,3,75,0,-90,37,65,0.2936067389559053,43,0
260,33,90,5,-42,17,85,0.231655481204863,31,0
42,42,6,6,-89,24,95,0.044310540499556406,37,1
12,35,78,6,-57,19,70,0.13967065265130352,38,0
189,44,32,0,-83,38,65,0.6376239985839044,25,0
118,5,23,24,-58,16,94,0.29505124756754264,35,0
113,35,34,15,-51,41,89,0.117485737004276,59,0
94,21,15,17,-86,40,99,0.28020224184077946,46,0
22,36,77,15,-100,22,66,0.4909907650658706,36,0
33,31,15,16,-92,26,54,0.9220685062400769,49,1
167,36,7,21,-92,41,94,0.6448729168074016,30,0
284,20,2,2,-84,33,86,0.5409735565104944,30,0
88,23,4,7,-58,25,84,0.1250450053423232,27,0
237,21,51,13,-78,36,93,0.6456207100770135,47,0
31,10,84,19,-97,39,70,0.16689623711323998,32,0
175,45,15,10,-70,4,83,0.43542723181610554,59,0
164,12,51,5,-79,48,82,0.06450270631270338,15,0
275,16,99,10,-70,8,81,0.6948434518475926,53,0
295,35,61,8,-56,9,52,0.5129755409590405,55,0
130,12,44,13,-58,23,69,0.40839438079044765,25,0
148,35,94,10,-55,38,95,0.29802590613092517,28,0
154,27,34,18,-49,29,85,0.8745569732441324,10,0
32,36,83,12,-44,23,72,0.2613962079399058,56,0
202,39,11,5,-56,20,68,0.8634465551985857,39,0
12,25,38,19,-47,3,61,0.24123661624523973,12,0
125,46,53,17,-100,19,99,0.3506185467607761,57,0
222,39,92,5,-77,33,79,0.3928790575400056,13,0
192,7,83,18,-60,48,73,0.7640915371156579,39,0
271,43,22,13,-52,35,92,0.7930498733413052,51,0
176,1,61,19,-100,1,50,0.8615672828707994,22,0
248,34,82,3,-68,20,66,0.26340059406284044,26,0
86,15,5,19,-83,10,73,0.17284428591926448,45,0
291,17,45,22,-92,14,80,0.6318827843623568,38,0
196,38,38,10,-77,17,73,0.13154984661019242,30,0
220,12,30,5,-66,34,51,0.95734663318702,40,0
203,35,37,6,-75,27,88,0.8598587417034593,30,0
262,32,83,1,-98,13,64,0.7692084227301542,41,0
262,13,74,17,-98,48,82,0.1017773873941672,28,1
188,47,97,7,-61,11,58,0.8704964853488304,16,0
65,18,69,5,-66,5,76,0.7035323533736407,15,0
131,27,80,9,-64,7,89,0.18567578821278907,23,0
184,8,17,2,-96,10,84,0.5078869259692562,35,0
136,25,10,7,-58,14,92,0.733596778452142,27,0
175,30,53,8,-73,23,90,0.8733170409133223,29,0
95,25,40,13,-65,3,80,0.06276082929317484,14,0
111,26,47,4,-55,18,99,0.2644423085394356,27,0
259,31,86,12,-81,6,62,0.5446979837205248,57,1
93,17,33,23,-93,23,81,0.9878530516327666,21,0
105,10,3,15,-58,47,91,0.7814143800942508,56,0
10,40,37,11,-94,23,58,0.18096826592556736,11,0
273,6,98,15,-97,27,65,0.5120210911785222,27,0
229,4,56,4,-98,11,91,0.1758094993375684,44,0
31,27,1,19,-61,3,69,0.8300356385139589,19,1
289,29,3,12,-93,32,78,0.0447700502724907,10,0
210,46,85,20,-68,29,92,0.9495194650460407,19,0
158,19,18,17,-56,23,71,0.7277865917483387,50,0
55,11,89,22,-55,13,95,0.5207610831174185,58,0
50,10,45,11,-72,35,74,0.7268963994340768,39,0
97,32,41,17,-71,34,79,0.3150116512063036,25,1
48,33,76,16,-77,37,94,0.7986277124767462,11,0
59,17,22,3,-83,21,63,0.3414108440823954,24,0
62,18,86,19,-55,37,56,0.6284184741241885,50,0
137,34,25,22,-56,17,79,0.2372635494321359,14,0
114,27,59,1,-90,29,53,0.351686636681412,23,0
18,15,37,16,-84,13,99,0.3972092598369632,52,0
296,19,11,0,-69,30,54,0.6451448787016826,50,0
111,36,50,10,-76,3,93,0.45917139651597805,52,1
58,39,72,24,-68,9,89,0.6613831433313925,55,0
218,12,94,19,-71,45,51,0.9771691019433741,12,0
29,12,53,24,-52,34,78,0.5970746401656907,49,0
17,18,81,0,-94,44,58,0.288143063790935,12,0
68,13,43,20,-98,7,92,0.6050547858742162,43,0
260,39,19,20,-43,9,61,0.4527227987185305,58,0
173,43,1,6,-54,40,59,0.25254332010333724,41,0
146,16,39,4,-69,38,90,0.324648181452993,51,0
35,44,23,4,-84,12,74,0.7115099044678356,40,0
31,15,26,12,-81,29,74,0.2127050449836797,49,0
276,10,62,9,-64,34,71,0.15866042449490136,47,0
186,43,33,23,-41,34,69,0.194970874449102,13,1
72,45,74,24,-71,19,61,0.7300380300863261,33,0
181,14,13,20,-71,40,51,0.022130770983500136,10,0
257,47,7,3,-54,16,96,0.2938754584751282,17,0
209,48,67,14,-99,11,76,0.1846789818148068,40,0
36,18,43,15,-93,5,60,0.9387218186980706,24,0
37,19,62,14,-74,20,50,0.35838143593751515,54,0
