Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,519.4,8m 39.4s,38.95689262,-95.27493268,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,8.9,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-173.9,186.1,1024,1024,1024,1024,1024,,,,Your aircraft has entered a Warning Zone (Class E Airspace). Please fly with caution.,
2,519.5,8m 39.5s,38.95689261,-95.27493269,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,8.9,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-173.9,186.1,1024,1024,1024,1024,1024,,,,,
3,519.6,8m 39.6s,38.95689259,-95.27493272,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,8.9,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-173.9,186.1,1024,1024,1024,1024,1024,,,,,
4,519.7,8m 39.7s,38.95689256,-95.27493275,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.7,-3.6,-173.8,186.2,1024,1024,1024,1024,1024,,,,,
5,519.8,8m 39.8s,38.95689257,-95.27493278,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.7,-3.6,-174,186,1024,1024,1024,1024,1024,,,,,
6,519.9,8m 39.9s,38.95689258,-95.27493279,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.7,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
7,520,8m 40s,38.95689258,-95.27493283,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-174,186,1024,1024,1024,1024,1024,,,,,
8,520.1,8m 40.1s,38.95689255,-95.27493286,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
9,520.2,8m 40.2s,38.95689254,-95.27493291,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.7,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
10,520.3,8m 40.3s,38.95689252,-95.27493296,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.8,38.95690218,-95.2749037,16,5,61,11.721,0,3.907,3.907,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
11,520.4,8m 40.4s,38.95689256,-95.27493302,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
12,520.5,8m 40.5s,38.95689257,-95.27493308,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.0,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
13,520.6,8m 40.6s,38.95689261,-95.27493315,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
14,520.7,8m 40.7s,38.95689262,-95.2749332,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
15,520.8,8m 40.8s,38.95689264,-95.27493324,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,9.1,2.8,38.95690218,-95.2749037,16,5,60,11.723,0.001,3.908,3.908,3.907,0,0,0,1.6,-3.6,-174.1,185.9,1024,1024,1024,1024,1024,,,,,
